Molecule ChEMBL ID	Molecule Name	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Compound Key	Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	pChEMBL Value	Data Validity Comment	Comment	Uo Units	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay ChEMBL ID	Assay Description	Assay Type	BAO Format ID	BAO Label	Assay Organism	Assay Tissue ChEMBL ID	Assay Tissue Name	Assay Cell Type	Assay Subcellular Fraction	Assay Parameters	Assay Variant Accession	Assay Variant Mutation	Target ChEMBL ID	Target Name	Target Organism	Target Type	Document ChEMBL ID	Source ID	Source Description	Document Journal	Document Year	Cell ChEMBL ID	Properties	Action Type	Standard Text Value	Value
CHEMBL2403875		None	492.59	1	6.08	4a	CC(C)(C)c1cc(NC(=O)Nc2cccc(Nc3ncnc4ccccc34)c2)n(-c2cccc(N)c2)n1	IC50	'='	2	nM	8.7			UO_0000065	17.66	0.32	2.62	7.09	0	CHEMBL3265735	Inhibition of wild type DDR2 (unknown origin) preincubated for 30 mins before substrate addition by FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL3259697	1	Scientific Literature	J Med Chem	2014	None				0.002
CHEMBL2165191	AZD-6482	2	408.46	0	2.71	AZD-6482	Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1	Kd	'>'	30000	nM			Inactive	UO_0000065					0	CHEMBL3991686	"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry."	B	BAO_0000220	subcellular format	Homo sapiens	None	None	"K-562, COLO 205, SK-N-BE(2) and MV-4-11"	Cell lysate	Direct Binder: yes			CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL3991601	48	Kuster Lab Chemical Proteomics Drug Profiling	Science	2017	None				30000
CHEMBL296468	BMS-387032	1	380.54	0	3.66	BMS-387032/SNS-032	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1	Kd	'>'	10000	nM				UO_0000065					0	CHEMBL1060180	Binding constant for DDR2 kinase domain	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1150977	1	Scientific Literature	Nat Biotechnol	2008	None				10
CHEMBL261849	GW632580X	None	366.42	0	2.83	GW-2580	COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1	Kd	'>'	10000	nM				UO_0000065					0	CHEMBL1060180	Binding constant for DDR2 kinase domain	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1150977	1	Scientific Literature	Nat Biotechnol	2008	None				10
CHEMBL91829	RUBOXISTAURIN	3	468.56	0	3.51	LY-333531	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1	Kd	'>'	10000	nM				UO_0000065					0	CHEMBL1060180	Binding constant for DDR2 kinase domain	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1150977	1	Scientific Literature	Nat Biotechnol	2008	None				10
CHEMBL1336	SORAFENIB	4	464.83	1	5.55	Sorafenib	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1	Kd	'='	6.6	nM	8.18			UO_0000065	17.6	0.35	2.63	8.86	0	CHEMBL1060180	Binding constant for DDR2 kinase domain	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1150977	1	Scientific Literature	Nat Biotechnol	2008	None				6.6
CHEMBL477772	PAZOPANIB	4	437.53	0	3.14	GW-786034	Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O	Kd	'='	98	nM	7.01			UO_0000065	16.02	0.31	3.87	5.89	0	CHEMBL1060180	Binding constant for DDR2 kinase domain	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1150977	1	Scientific Literature	Nat Biotechnol	2008	None				98
CHEMBL608533	MIDOSTAURIN	4	570.65	2	5.91	PKC-412	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4	Kd	'>'	10000	nM				UO_0000065					0	CHEMBL1060180	Binding constant for DDR2 kinase domain	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1150977	1	Scientific Literature	Nat Biotechnol	2008	None				10
CHEMBL261849	GW632580X	None	366.42	0	2.83	GW632580X	COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1	Inhibition	'='	8.13	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				8.13
CHEMBL1909369	GW693917A	None	556.93	2	7.07	GW693917A	COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)cc2s1.Cl	Inhibition	'='	83.59	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				83.59
